engine,mode,rows_req,rows_read,ttfr_ms,total_ms,baseline_rss_mb,peak_rss_mb,rss_at_first_row_mb
pg,stream,10,10,1.825,3.561,7.4,7.4,7.4
pg,buffer,10,10,-1.000,0.624,7.4,7.4,-1.0
pg,stream,100000,100000,0.649,32.269,7.4,7.5,7.4
pg,buffer,100000,100000,-1.000,24.888,7.4,7.4,-1.0
pg,stream,1000000,1000000,0.242,206.304,7.4,7.5,7.4
pg,buffer,1000000,1000000,-1.000,245.547,7.4,412.7,-1.0
pg,stream,2000000,2000000,0.248,405.413,7.4,7.5,7.4
pg,buffer,2000000,2000000,-1.000,456.735,7.4,806.4,-1.0
mysql,stream,10,10,0.787,2.595,7.5,7.5,7.5
mysql,buffer,10,10,-1.000,0.671,7.6,7.6,-1.0
mysql,stream,100000,100000,0.855,43.282,7.5,7.7,7.5
mysql,buffer,100000,100000,-1.000,38.077,7.6,32.5,-1.0
mysql,stream,1000000,1000000,0.380,406.203,7.6,7.7,7.6
mysql,buffer,1000000,1000000,-1.000,312.135,7.5,415.6,-1.0
mysql,stream,2000000,2000000,0.585,593.930,7.5,7.7,7.5
mysql,buffer,2000000,2000000,-1.000,749.960,7.6,845.1,-1.0
