engine,mode,rows_req,rows_read,ttfr_ms,total_ms,baseline_rss_mb,peak_rss_mb,rss_at_first_row_mb
pg,stream,10,10,0.697,2.573,7.4,7.4,7.4
pg,buffer,10,10,-1.000,0.567,7.4,7.4,-1.0
pg,stream,100000,100000,0.589,33.499,7.4,7.5,7.4
pg,buffer,100000,100000,-1.000,23.358,7.4,7.4,-1.0
pg,stream,1000000,1000000,0.282,223.573,7.4,7.5,7.4
pg,buffer,1000000,1000000,-1.000,234.733,7.4,413.6,-1.0
pg,stream,2000000,2000000,0.247,400.597,7.4,7.5,7.4
pg,buffer,2000000,2000000,-1.000,462.209,7.4,808.7,-1.0
mysql,stream,10,10,1.211,3.055,7.6,7.6,7.6
mysql,buffer,10,10,-1.000,0.479,7.5,7.5,-1.0
mysql,stream,100000,100000,0.434,26.527,7.6,7.7,7.6
mysql,buffer,100000,100000,-1.000,35.436,7.5,33.3,-1.0
mysql,stream,1000000,1000000,0.482,240.522,7.6,7.7,7.6
mysql,buffer,1000000,1000000,-1.000,345.329,7.6,418.7,-1.0
mysql,stream,2000000,2000000,0.472,646.593,7.6,7.7,7.6
mysql,buffer,2000000,2000000,-1.000,757.545,7.6,850.5,-1.0
